"EN_US","JPN"
"@langName","日本語"
"@langNameEn","Japanese"
"@translatedBy","https://twitter.com/h0d22"
"Standard Texture Matrix\0Bump Mapping: Use vertex lighting calculation result.\0SRTG: Map R(ed) and G(reen) components of a color channel to U/V coordinates\0","スタンダードテクスチャマトリックス\0バンプマッピング: 頂点ライトの計算結果を使用\0SRTG: Map R(ed) and G(reen)コンポーネントのカラーチャンネルをU/V座標に使用\0"
"Standard","基本"
"Surface Visibility","面の可視性"
"Make materials unique","マテリアルに個性を持たせる"
"Transformation","トランスフォーム"
"Pixel Shader","ピクセルシェーダー"
"Font Scale","フォントの大きさ"
"Hardware light ID","ハードウェアライトID"
"Displays","表示"
"Lighting","ライティング"
"QuadStrips","四角形ストリップ"
"Colors","色"
"U tiling","Uタイリング"
"Swap Tables","テーブルの入れ替え"
"Pixel","ピクセル"
"Samplers","サンプラー"
"Stage","ステージ"
"Points","ポイント"
"TexCoord1","テクスチャ座標1"
"Interpolation when scaled up","拡大時に補間"
"PositionNormalMatrixIndex","位置法線マトリックスインデックス"
"Texture0MatrixIndex","テクスチャ0マトリックスインデックス"
"Fog Enabled","フォグ有効化"
"Constant Register ","コンスタントレジスタ "
"Mapping method","マッピング方法"
"Texture1MatrixIndex","テクスチャ1マトリックスインデックス"
"Constant Color 0\0Constant Color 1\0Constant Color 2\0Constant Color 3\0","コンスタントカラー 0\0コンスタントカラー 1\0コンスタントカラー 2\0コンスタントカラー 3\0"
"Texture2MatrixIndex","テクスチャ2マトリックスインデックス"
"Data","データ"
"Options","オプション"
"Save","保存"
"Operand B","オペランド B"
"Texture3MatrixIndex","テクスチャ3マトリックスインデックス"
"Texture4MatrixIndex","テクスチャ4マトリックスインデックス"
"Texture5MatrixIndex","テクスチャ5マトリックスインデックス"
"Position\0Normal\0Binormal\0Tangent\0UV 0\0UV 1\0UV 2\0UV 3\0UV 4\0UV 5\0UV 6\0UV 7\0Bump UV0\0Bump UV1\0Bump UV2\0Bump UV3\0Bump UV4\0Bump UV5\0Bump UV6\0Color Channel 0\0Color Channel 1\0","位置\0法線\0従法線\0接線\0UV 0\0UV 1\0UV 2\0UV 3\0UV 4\0UV 5\0UV 6\0UV 7\0バンプUV0\0バンプUV1\0バンプUV2\0バンプUV3\0バンプUV4\0バンプUV5\0バンプUV6\0カラーチャンネル 0\0カラーチャンネル 1\0"
"TexCoord0","テクスチャ座標0"
"Texture6MatrixIndex","テクスチャ6マトリックスインデックス"
"TEV Constant Colors","TEVコンスタントカラー"
"NormalMatrixArray","法線マトリックス配列"
"Lines","ライン"
